driverStandingsId,raceId,driverId,points,position,positionText,wins,fileName
13658,38,15,4.0,7,7,0,driver_standings.csv
13657,38,23,1.0,11,11,0,driver_standings.csv
13656,38,3,2.0,9,9,0,driver_standings.csv
13655,38,13,17.0,4,4,1,driver_standings.csv
13654,38,21,8.0,6,6,0,driver_standings.csv
13653,38,2,15.0,5,5,0,driver_standings.csv
13652,38,1,22.0,3,3,0,driver_standings.csv
13651,38,4,22.0,1,1,1,driver_standings.csv
13650,38,8,22.0,2,2,1,driver_standings.csv
13692,39,14,4.0,9,9,0,driver_standings.csv
13691,39,27,0.0,20,20,0,driver_standings.csv
13690,39,9,8.0,6,6,0,driver_standings.csv
13689,39,26,0.0,22,22,0,driver_standings.csv
13688,39,25,0.0,14,14,0,driver_standings.csv
13687,39,16,0.0,19,19,0,driver_standings.csv
13686,39,19,0.0,17,17,0,driver_standings.csv
13685,39,18,0.0,18,18,0,driver_standings.csv
13684,39,24,0.0,21,21,0,driver_standings.csv
13683,39,17,0.0,16,16,0,driver_standings.csv
13682,39,11,1.0,12,12,0,driver_standings.csv
13681,39,22,0.0,15,15,0,driver_standings.csv
13680,39,5,3.0,11,11,0,driver_standings.csv
13679,39,15,4.0,10,10,0,driver_standings.csv
13678,39,23,1.0,13,13,0,driver_standings.csv
13677,39,3,5.0,8,8,0,driver_standings.csv
13675,39,21,8.0,7,7,0,driver_standings.csv
13714,40,14,4.0,9,9,0,driver_standings.csv
13713,40,27,0.0,21,21,0,driver_standings.csv
13712,40,9,12.0,7,7,0,driver_standings.csv
13711,40,26,0.0,15,15,0,driver_standings.csv
13710,40,25,2.0,12,12,0,driver_standings.csv
13709,40,16,0.0,20,20,0,driver_standings.csv
13708,40,19,0.0,19,19,0,driver_standings.csv
13707,40,18,0.0,18,18,0,driver_standings.csv
13706,40,24,0.0,22,22,0,driver_standings.csv
13705,40,17,0.0,17,17,0,driver_standings.csv
13704,40,11,1.0,13,13,0,driver_standings.csv
13703,40,22,0.0,16,16,0,driver_standings.csv
13702,40,5,3.0,11,11,0,driver_standings.csv
13701,40,15,4.0,10,10,0,driver_standings.csv
13700,40,23,1.0,14,14,0,driver_standings.csv
13699,40,3,5.0,8,8,0,driver_standings.csv
13697,40,21,13.0,6,6,0,driver_standings.csv
13736,41,14,4.0,11,11,0,driver_standings.csv
13735,41,27,0.0,21,21,0,driver_standings.csv
13734,41,9,12.0,7,7,0,driver_standings.csv
13733,41,26,0.0,16,16,0,driver_standings.csv
13732,41,25,8.0,8,8,0,driver_standings.csv
13731,41,16,0.0,20,20,0,driver_standings.csv
13730,41,19,0.0,18,18,0,driver_standings.csv
13729,41,18,0.0,19,19,0,driver_standings.csv
13728,41,24,0.0,22,22,0,driver_standings.csv
